2019-02-17 18:34:59,2019-02-17 15:24:13,Tunisia,NessmaTV,2097
2019-02-17 18:34:59,2019-02-17 15:24:49,Tunisia,Turess,686
2019-02-17 18:34:59,UAE,12429
2019-02-17 18:35:02,2019-02-17 15:34:42,UAE,24,2486
2019-02-17 18:35:02,2019-02-17 15:36:40,UAE,AlBayan,2100
2019-02-17 18:35:02,2019-02-17 16:07:25,UAE,AlKhaleej,5211
2019-02-17 18:35:02,2019-02-17 16:08:00,UAE,AlEmaratAlYaum,714
2019-02-17 18:35:03,2019-02-17 16:16:27,UAE,AlEtihad,1336
2019-02-17 18:35:03,2019-02-17 16:28:07,UAE,EmiratesNewsAgency,582
2019-02-17 18:35:03,Yemen,1194
2019-02-17 18:35:03,2019-02-17 16:28:25,Yemen,AlAyaam,212
2019-02-17 18:35:03,2019-02-17 16:29:18,Yemen,AlSahwa,585
2019-02-17 18:35:03,2019-02-17 16:29:25,Yemen,AlThawra,242
2019-02-17 18:35:03,2019-02-17 16:30:28,Yemen,AlWahdawi,155
